Category,Rule Text,Truth label,NORMAL RULE JSON
Sheet Metal,Distance between curl and bends should be at least 4.5 times sheet thickness plus twice the rolled hem radius,"RuleCategory= Sheet Metal
Name = Curl to Bend Distance

Feature1 = Distance
Feature2 = """" 
Object1 = RolledHem
Object2 = Bend

ExpName = Distance.MinValue -( 2.0*RolledHem.Radius ) / SheetMetal.Thickness
Operator = >=
Recom = 4.5",
Sheet Metal, Distance between curl and cutouts should be at least 3.0 times sheet thickness minus the rolled hem radius,"RuleCategory= Sheet Metal
Name = Curl to Cutout Distance

Feature1 = Distance
Feature2 = """" 
Object1 = RolledHem
Object2 = Cutout

ExpName = (Distance.MinValue-RolledHem.Radius)/SheetMetal.Thickness
Operator = >=
Recom = 3.0
",
Sheet Metal,Distance between cutout and part edge should be at least 2.0 times sheet thickness,"RuleCategory= Sheet Metal
Name = Cutout to Part Edge Distance

Feature1 = Distance
Feature2 = """" 
Object1 = Cutout
Object2 = PartEdge

ExpName = Distance.MinValue/SheetMetal.Thickness
Operator = >=
Recom = 2.0
",
Sheet Metal, Distance between emboss and bend should be at least 5.0 times sheet thickness,"RuleCategory= Sheet Metal
Name = Emboss to Bend Distance

Feature1 = Distance
Feature2 = """" 
Object1 = Emboss
Object2 = Bend

ExpName = Distance.MinValue/SheetMetal.Thickness
Operator = >=
Recom = 5.0
",
Sheet Metal, Distance between emboss and part edge should be at least 4.0 times sheet thickness,"RuleCategory= Sheet Metal
Name = Emboss to Part Edge Distance

Feature1 = Distance
Feature2 = """" 
Object1 = Emboss
Object2 = PartEdge

ExpName = Distance.MinValue/SheetMetal.Thickness
Operator = >=
Recom = 4.0
",
Sheet Metal, Distance between extruded form and cutouts should be at least 2.0 times sheet thickness,"RuleCategory= Sheet Metal
Name = Extruded Form to Cutout Distance

Feature1 = Distance
Feature2 = """" 
Object1 = ExtrudedForm
Object2 = Cutout

ExpName = Distance.MinValue/SheetMetal.Thickness
Operator = >=
Recom = 2.0
",
Sheet Metal, Distance between extruded form and part edge should be at least 4.0 times sheet thickness,"RuleCategory= Sheet Metal
Name = Extruded Form Distance to Part Edge 

Feature1 = Distance
Feature2 = """" 
Object1 = ExtrudedForm
Object2 = PartEdge

ExpName = Distance.MinValue/SheetMetal.Thickness
Operator = >=
Recom = 4.0
",
Sheet Metal, Minimum bridge width should be at least 3.0 times sheet thickness,"RuleCategory= Sheet Metal
Name = Minimum Bridge Width

Feature1 = Bridge
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Bridge.Width/SheetMetal.Thickness
Operator = >=
Recom = 3.0
",
Sheet Metal,"For part with material 6061-T6 the flange radius should be atleast 1.0 mm and the length should be 6.0 mm. 
The sheet thickness for the part with material 6061-T6 should be atleast 2.0 mm.","RuleCategory= Sheet Metal
Name = Recommended Flange Parameters

Feature1 = Flange
Feature2 = """" 
Object1 = """"
Object2 = """"

Constraint : ExpName = PartBody.Material , Operator = == , Value = 6061-T6
{

ExpName = SheetMetal.Thickness
Operator = >=
Recom = 2.0

ExpName = Flange.Radius
Operator = >=
Recom = 1.0

ExpName = Flange.Length
Operator = >=
Recom = 6.0
}
",
Sheet Metal,"For a spoon feature the minimum width should be atleast 0.8 times sheet thickness, minimum length should be atleast 10.0 times sheet thickness, minimum height should be  between 0.5 and 1.2 times sheet thickness","RuleCategory= Sheet Metal
Name = Recommended Spoon Parameters

Feature1 = Spoon
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Spoon.FlangeWidth/SheetMetal.Thickness
Operator = >=
Recom = 0.8

ExpName = Spoon.Length/SheetMetal.Thickness
Operator = >=
Recom = 10.0

ExpName = Spoon.Height/SheetMetal.Thickness
Operator = between
Recom = 0.5:1.2
",
Additive Manufacutring," Ensure the part does not exceed maximum print size: length 300.0, width 300.0, height 600.0","RuleCategory= Additive Manufacturing
Name = Maximum Print Size 

Feature1 = """"
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Additive.PrintSize.Length
Operator = <=
Recom = 300.0

ExpName = Additive.PrintSize.Width
Operator = <=
Recom = 300.0

ExpName = Additive.PrintSize.Height
Operator = <=
Recom = 600.0
",
Additive Manufacutring, Ensure angular tolerance is at least 0.1 degrees,"RuleCategory= Additive Manufacturing
Name = Recommended Angular Tolerance 

Feature1 = PMI
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = PMI.Angularity
Operator = >=
Recom = 0.1
",
Additive Manufacutring, Ensure text height is at least 0.6 units and text width is at least 2.0 units,"RuleCategory= Additive Manufacturing
Name = Recommended Text Parameters 

Feature1 = Text
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Text.Height
Operator = >=
Recom = 0.6

ExpName = Text.Width
Operator = >=
Recom = 2.0
",
Additive Manufacutring, Ensure pin height is between 0 and 10 units and pin diameter is between 3 and 5 units,"RuleCategory= Additive Manufacturing
Name = Recommended Pin Diameter 

Feature1 = Pin
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Pin.TotalHeight
Operator = between
Recom = 0:10

ExpName = Pin.DiameterAtTop
Operator = between
Recom = 3:5
",
Additive Manufacutring, Ensure wall thickness is at least 0.8 units for both supported and unsupported walls,"RuleCategory= Additive Manufacturing
Name = Minimum Wall Thickness 

Feature1 = Wall
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Wall.MinThickness
Operator = >=
Recom = 0.8
",
Assembly, Ensure minimum clearance between components is at least 0.1 units,"RuleCategory= Assembly
Name = Minimum Clearance Between Components 

Feature1 = Clearance
Feature2 = """" 
Object1 = Component
Object2 = Component

ExpName = Clearance.MinValue
Operator = >=
Recom = 0.1
",
Assembly, Ensure washer is present for fasteners engaging with specific materials,"RuleCategory= Assembly
Name = Missing Washer 

Feature1 = Fastener
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Fastener.IsWasherPresent
Operator = ==
Recom = True",
Assembly, Ensure extended thread length to thread pitch ratio for a bolt is at least 2.0,"RuleCategory= Assembly
Name = Recommended Extended Thread Length 

Feature1 = Bolt
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Bolt.ExtendedThreadLength/Bolt.ThreadPitch
Operator = >=
Recom = 2.0",
Assembly, Ensure shank length is less than or equal to the clearance hole depth,"RuleCategory= Assembly
Name = Recommended Shank Length 

Feature1 = Bolt
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Bolt.ShankLength
Operator = <=
Recom = Bolt.ClearanceHoleDepth",
DieCasting, Ensure the ratio of the outer radius at the base of the boss to the nominal thickness of the part body is at least 0.25,"RuleCategory= Die Casting
Name = Minimum Radius at Base of Boss 

Feature1 = Boss
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Boss.OuterRadiusAtBot/PartBody.NominalThickness
Operator = >=
Recom = 0.25",
DieCasting, Ensure the ratio of the radius at the base of the rib to the top thickness of the rib is between 0.25 and 0.5,"RuleCategory= Die Casting
Name = Minimum Radius at Base of Rib 

Feature1 = Rib
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Rib.RadiusAtBot/Rib.TopThickness
Operator = between
Recom = 0.25:0.5",
DieCasting, Ensure the outer radius at the tip of the boss is at least 1.5 unit,"RuleCategory= Die Casting
Name = Minimum Radius at Tip of Boss 

Feature1 = Boss
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Boss.OuterRadiusAtTop
Operator = >=
Recom = 1.5",
DieCasting, Ensure mold wall height is at least 2.0 units and the ratio of mold wall thickness to part body nominal thickness is at least 3.0,"RuleCategory= Die Casting
Name = Mold Wall Parameters

Feature1 = MoldWall
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = MoldWall.Height
Operator = >=
Recom = 2.0

ExpName = MoldWall.MinValue/PartBody.NominalThickness
Operator = >=
Recom = 3.0",
DieCasting,Ensure the ratio of the outer diameter to the inner diameter of the boss is at most 2.5 and the ratio of the total height to the outer diameter of the boss is at most 1.0,"RuleCategory= Die Casting
Name = Recommended Boss Parameters 

Feature1 = Boss
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Boss.OuterDiameterAtTop/Boss.InnerDiameterAtTop
Operator = <=
Recom = 2.5

ExpName = Boss.TotalHeight/Boss.OuterDiameterAtTop
Operator = <=
Recom = 1.0",
General," Ensure that thread sizes conform to the recommended standard sizes: 1-64 UNC, 1-72 UNF, 2-56 UNC.","RuleCategory= General
Name = Recommended Standard Thread Sizes 

Feature1 = Thread
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Thread.Size
Operator = in
Recom = 1-64 UNC, 1-72 UNF, 2-56 UNC",
General," Ensure that external threads conform to the recommended thread classes: 1A, 2A.","RuleCategory= General
Name = Recommended Thread Class - External Threads 

Feature1 = Thread
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Thread.ExternalThreadClass
Operator = in
Recom = 1A, 2A",
General," Ensure that internal threads conform to the recommended thread classes: 1B, 2B.","RuleCategory= General
Name = Recommended Thread Class - Internal Threads 

Feature1 = Hole
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Hole.InternalThreadClass
Operator = in
Recom = 1B, 2B",
General," Ensure that the thread unit is set to English.




","RuleCategory= General
Name = Recommended Thread Unit 

Feature1 = Thread
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName = Thread.Unit
Operator = ==
Recom = English",
General, Ensure that the wall thickness is between the minimum value of 5.0 units and the maximum value of 10.0 units.,"RuleCategory= General
Name = Thickness Check 

Feature1 = Wall
Feature2 = """" 
Object1 = """"
Object2 = """"

ExpName1 = Wall.MinThickness
Operator1 = >=
Recom1 = 5.0

ExpName2 = Wall.MaxThickness
Operator2 = <=
Recom2 = 10.0",
