,Final Rule Text,Source Window IDs
0,The maximum diameter of a dimple should be six times the material thickness.,72fd2ef5_p1_b13_w0
1,The maximum depth of a dimple should be one-half the inside diameter.,72fd2ef5_p1_b13_w0
2,The minimum distance that a dimple should be from a hole is three times the material thickness plus the radius of the dimple.,72fd2ef5_p1_b13_w0
3,The minimum distance that a dimple should be from the edge is four times the material thickness plus the inside radius of the dimple.,72fd2ef5_p1_b13_w0
4,The tolerance of a bend at a location adjacent to the bend should be plus or minus one-half degree.,"72fd2ef5_p1_b5_w0, 72fd2ef5_p1_b5_w1"
5,Multiple bends on the same plane should occur in the same direction.,"72fd2ef5_p1_b5_w0, 72fd2ef5_p1_b5_w1"
6,"In low carbon steel sheet metal, the minimum radius of a bend should be one-half the material thickness or 0.80 mm (0.03 inch), whichever is larger.","72fd2ef5_p1_b5_w0, 72fd2ef5_p1_b5_w1"
7,The minimum distance between two counterbores is eight times the material thickness.,72fd2ef5_p1_b7_w0
8,The minimum distance from a counterbore to an edge is four times the material thickness.,72fd2ef5_p1_b7_w0
9,The minimum distance from a counterbore to a bend is four times the material thickness plus the bend radius.,72fd2ef5_p1_b7_w0
10,The maximum depth of a countersink is 3.5 times the material thickness at an angle of the hardware.,"72fd2ef5_p1_b9_w0, 72fd2ef5_p1_b9_w1, 72fd2ef5_p1_b9_w2"
11,A minimum of 50% contact between the hardware and the countersink is required.,"72fd2ef5_p1_b9_w0, 72fd2ef5_p1_b9_w1, 72fd2ef5_p1_b9_w2"
12,The minimum distance between two countersinks is eight times the material thickness.,"72fd2ef5_p1_b9_w0, 72fd2ef5_p1_b9_w1, 72fd2ef5_p1_b9_w2"
13,The minimum distance from one countersink and an edge is four times the material thickness.,"72fd2ef5_p1_b9_w0, 72fd2ef5_p1_b9_w1, 72fd2ef5_p1_b9_w2"
14,The minimum distance from a countersink and a bend is four times the material thickness plus the bend radius.,"72fd2ef5_p1_b9_w0, 72fd2ef5_p1_b9_w1, 72fd2ef5_p1_b9_w2"
15,The minimum distance that a gusset should be from the edge of a hole in a parallel plane is eight times the material thickness plus the radius of the gusset.,72fd2ef5_p2_b10_w0
16,"The minimum diameter of a hole should be equal to the material thickness or 1.00 mm (0.04 inch), whichever is greater.",72fd2ef5_p2_b14_w0
17,The minimum distance between holes is directly proportional to the size and shape for the hole feature and the material thickness.,72fd2ef5_p2_b14_w0
18,The minimum distance the edge of a hole should be from a form is three times the material thickness plus the bend radius.,72fd2ef5_p2_b14_w0
19,The minimum distance that a dimple should be from a bend is two times the material thickness plus the inside radius of the dimple plus the radius of the bend.,72fd2ef5_p2_b2_w0
