,Window ID,Page,Section,Text Content
0,624ced3a_p1_b0_w0,1,Root,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
1,624ced3a_p1_b1_w0,1,Root,www.npd-solutions.com/sheetmetal.html 1/5
2,624ced3a_p1_b2_w0,1,Root,Design for Manufacturability Guidelines – Sheetmetal
3,624ced3a_p1_b3_w0,1,Root,This is an example of DFM guidelines for sheetmetal fabrication.
4,624ced3a_p1_b4_w0,1,Root,Bends
5,624ced3a_p1_b5_w0,1,Root,"Bends should be toleranced plus or minus one-half degree at a location adjacent to the bends. For the ease of manufacturing, multiple bends on the same plane should occur in the same direction. Avoid large sheet metal parts with small bent flanges."
6,624ced3a_p1_b5_w1,1,Root,"For the ease of manufacturing, multiple bends on the same plane should occur in the same direction. Avoid large sheet metal parts with small bent flanges. In low carbon steel sheet metal, the minimum radius of a bend should be one-half the material thickness or 0.80 mm (0.03 inch), whichever is larger,"
7,624ced3a_p1_b6_w0,1,Root,Counterbores
8,624ced3a_p1_b7_w0,1,Root,The minimum distance between two counterbores is eight times the material thickness. The minimum distance from a counterbore to an edge is four times the material thickness. The minimum distance from a counterbore to a bend is four times the material thickness plus the bend radius.
9,624ced3a_p1_b8_w0,1,Root,Countersinks
10,624ced3a_p1_b9_w0,1,Root,The maximum depth is 3.5 times the material thickness at an angle of the hardware. A minimum of 50% contact between the hardware and the countersink is required. The minimum distance between two countersinks is eight times the material thickness.
11,624ced3a_p1_b9_w1,1,Root,A minimum of 50% contact between the hardware and the countersink is required. The minimum distance between two countersinks is eight times the material thickness. The minimum distance from one countersink and an edge is four times the material thickness.
12,624ced3a_p1_b9_w2,1,Root,The minimum distance between two countersinks is eight times the material thickness. The minimum distance from one countersink and an edge is four times the material thickness. The minimum distance from a countersink and a bend is four times the material thickness plus the bend radius.
13,624ced3a_p1_b10_w0,1,Root,Curls
