,Final Rule Text,Source Window IDs
0,"The minimum radius of a curl is two times the material thickness, with an opening to a minimum of one material thickness.","5c501d0c_p1_b11_w0, 5c501d0c_p1_b11_w1"
1,The minimum distance between a curl and the edge of a hole is the radius of the curl plus the material thickness.,"5c501d0c_p1_b11_w0, 5c501d0c_p1_b11_w1"
2,The minimum distance a curl should be from an internal bend is six times the material thickness plus the radius of the curl.,"5c501d0c_p1_b11_w0, 5c501d0c_p1_b11_w1"
3,The minimum distance a curl should be from an external bend is nine times the material thickness plus the radius of the curl.,"5c501d0c_p1_b11_w0, 5c501d0c_p1_b11_w1"
4,"The maximum diameter should be six times the material thickness, and a maximum depth of one-half the inside diameter.",5c501d0c_p1_b13_w0
5,The minimum distance that a dimple should be from a hole is three times the material thickness plus the radius of the dimple.,5c501d0c_p1_b13_w0
6,The minimum distance that a dimple should be from the edge is four times the material thickness plus the inside radius of the dimple.,5c501d0c_p1_b13_w0
7,Bends should be toleranced plus or minus one-half degree at a location adjacent to the bends.,"5c501d0c_p1_b5_w0, 5c501d0c_p1_b5_w1"
8,"For the ease of manufacturing, multiple bends on the same plane should occur in the same direction.","5c501d0c_p1_b5_w0, 5c501d0c_p1_b5_w1"
9,Avoid large sheet metal parts with small bent flanges.,"5c501d0c_p1_b5_w0, 5c501d0c_p1_b5_w1"
10,"In low carbon steel sheet metal, the minimum radius of a bend should be one-half the material thickness or 0.80 mm (0.03 inch), whichever is larger,","5c501d0c_p1_b5_w0, 5c501d0c_p1_b5_w1"
11,The minimum distance between two counterbores is eight times the material thickness.,5c501d0c_p1_b7_w0
12,The minimum distance from a counterbore to an edge is four times the material thickness.,5c501d0c_p1_b7_w0
13,The minimum distance from a counterbore to a bend is four times the material thickness plus the bend radius.,5c501d0c_p1_b7_w0
14,The maximum depth is 3.5 times the material thickness at an angle of the hardware.,"5c501d0c_p1_b9_w0, 5c501d0c_p1_b9_w1, 5c501d0c_p1_b9_w2"
15,A minimum of 50% contact between the hardware and the countersink is required.,"5c501d0c_p1_b9_w0, 5c501d0c_p1_b9_w1, 5c501d0c_p1_b9_w2"
16,The minimum distance between two countersinks is eight times the material thickness.,"5c501d0c_p1_b9_w0, 5c501d0c_p1_b9_w1, 5c501d0c_p1_b9_w2"
17,The minimum distance from one countersink and an edge is four times the material thickness.,"5c501d0c_p1_b9_w0, 5c501d0c_p1_b9_w1, 5c501d0c_p1_b9_w2"
18,The minimum distance from a countersink and a bend is four times the material thickness plus the bend radius.,"5c501d0c_p1_b9_w0, 5c501d0c_p1_b9_w1, 5c501d0c_p1_b9_w2"
19,"The width and depth, recommended at an angle of 45 degrees, is directly proportional to the radius and material thickness.",5c501d0c_p2_b10_w0
20,The minimum distance that a gusset should be from the edge of a hole in a parallel plane is eight times the material thickness plus the radius of the gusset.,5c501d0c_p2_b10_w0
