,Window ID,Page,Score,Text Content
0,624ced3a_p1_b0_w0,1,0.386,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
1,624ced3a_p1_b1_w0,1,0.343,www.npd-solutions.com/sheetmetal.html 1/5
2,624ced3a_p1_b2_w0,1,0.388,Design for Manufacturability Guidelines – Sheetmetal
3,624ced3a_p1_b3_w0,1,0.459,This is an example of DFM guidelines for sheetmetal fabrication.
4,624ced3a_p1_b4_w0,1,0.550,Bends
5,624ced3a_p1_b5_w0,1,0.639,"Bends should be toleranced plus or minus one-half degree at a location adjacent to the bends. For the ease of manufacturing, multiple bends on the same plane should occur in the same direction. Avoid large sheet metal parts with small bent flanges."
6,624ced3a_p1_b5_w1,1,0.768,"For the ease of manufacturing, multiple bends on the same plane should occur in the same direction. Avoid large sheet metal parts with small bent flanges. In low carbon steel sheet metal, the minimum radius of a bend should be one-half the material thickness or 0.80 mm (0.03 inch), whichever is larger,"
7,624ced3a_p1_b7_w0,1,0.479,The minimum distance between two counterbores is eight times the material thickness. The minimum distance from a counterbore to an edge is four times the material thickness. The minimum distance from a counterbore to a bend is four times the material thickness plus the bend radius.
8,624ced3a_p1_b9_w0,1,0.534,The maximum depth is 3.5 times the material thickness at an angle of the hardware. A minimum of 50% contact between the hardware and the countersink is required. The minimum distance between two countersinks is eight times the material thickness.
9,624ced3a_p1_b9_w1,1,0.486,A minimum of 50% contact between the hardware and the countersink is required. The minimum distance between two countersinks is eight times the material thickness. The minimum distance from one countersink and an edge is four times the material thickness.
10,624ced3a_p1_b9_w2,1,0.467,The minimum distance between two countersinks is eight times the material thickness. The minimum distance from one countersink and an edge is four times the material thickness. The minimum distance from a countersink and a bend is four times the material thickness plus the bend radius.
11,624ced3a_p1_b11_w0,1,0.538,The minimum radius is two times the material thickness with an opening to a minimum of one material thickness. The minimum distance between a curl and the edge of a hole is the radius of the curl plus the material thickness. The minimum distance a curl should be from an internal bend is six times the material thickness plus the radius of the curl.
12,624ced3a_p1_b11_w1,1,0.569,The minimum distance between a curl and the edge of a hole is the radius of the curl plus the material thickness. The minimum distance a curl should be from an internal bend is six times the material thickness plus the radius of the curl. The minimum distance a curl should be from an external bend is nine times the material thickness plus the radius of the curl.
13,624ced3a_p1_b12_w0,1,0.300,Dimples
14,624ced3a_p1_b13_w0,1,0.669,"The maximum diameter should be six times the material thickness, and a maximum depth of one-half the inside diameter. The minimum distance that a dimple should be from a hole is three times the material thickness plus the radius of the dimple. The minimum distance that a dimple should be from the edge is four times the material thickness plus the inside radius of the dimple."
15,624ced3a_p2_b0_w0,2,0.386,"3/22/22, 4:08 PM Design For Manufacturability Guidelines - Sheetmetal"
16,624ced3a_p2_b1_w0,2,0.345,www.npd-solutions.com/sheetmetal.html 2/5
17,624ced3a_p2_b2_w0,2,0.520,The minimum distance that a dimple should be from a bend is two times the material thickness plus the inside radius of the dimple plus the radius of the bend. The minimum distance between one dimple and another is four times the material thickness plus the inside radius of each dimple.
18,624ced3a_p2_b4_w0,2,0.531,The maximum depth is proportional to the internal radius or material thickness. The maximum depth for a flat embossment is equal to the internal radius plus the external radius. The maximum depth for a V embossment is equal to three times the material thickness.
19,624ced3a_p2_b6_w0,2,0.624,The minimum distance between two extruded holes is six times the material thickness. The minimum distance from an extruded hole to an edge is three times the material thickness. The minimum distance from an extruded hole to a bend is three times the material thickness plus the bend radius.
20,624ced3a_p2_b7_w0,2,0.303,Flanges
21,624ced3a_p2_b8_w0,2,0.579,"The minimum height of a bent flange is directly related to the material thickness, bend radius, and length of bend. The minimum width of a bend relief is one material thickness or 1.50 mm (0.06 inch), whichever is greater."
22,624ced3a_p2_b10_w0,2,0.678,"The width and depth, recommended at an angle of 45 degrees, is directly proportional to the radius and material thickness. The minimum distance that a gusset should be from the edge of a hole in a parallel plane is eight times the material thickness plus the radius of the gusset."
23,624ced3a_p2_b12_w0,2,0.534,"The minimum diameter of a teardrop hem is equal to the material thickness, with a return flange height equal to or greater than four times the material thickness, and a minimum opening of 1/4 of the material thickness. The minimum diameter of an open hem is equal to the material thickness with a return flange height equal to or greater than four times the material thickness. The minimum return flange height of a closed hem is equal to or greater than four times the material thickness (the diameter is zero)."
24,624ced3a_p2_b12_w1,2,0.522,The minimum diameter of an open hem is equal to the material thickness with a return flange height equal to or greater than four times the material thickness. The minimum return flange height of a closed hem is equal to or greater than four times the material thickness (the diameter is zero). NOTE:
25,624ced3a_p2_b12_w2,2,0.474,The minimum return flange height of a closed hem is equal to or greater than four times the material thickness (the diameter is zero). NOTE: Closed hems tend to fracture at the bend and cause entrapment of solutions during the finishing process.
26,624ced3a_p2_b12_w3,2,0.511,NOTE: Closed hems tend to fracture at the bend and cause entrapment of solutions during the finishing process. The minimum distance from a hole to a hem is two times the material thickness plus the radius of the hem.
27,624ced3a_p2_b12_w4,2,0.475,Closed hems tend to fracture at the bend and cause entrapment of solutions during the finishing process. The minimum distance from a hole to a hem is two times the material thickness plus the radius of the hem. The minimum distance a hem should be from an internal bend is five times the material thickness.
